term,example,definition
leave,Verb,"Rời đi, để lại"
might,Modal Verb,Có thể (dạng quá khứ của 'may')
want,Verb,"Muốn, mong muốn"
point,Noun/Verb,"Điểm; chỉ, chỉ vào"
form,Noun/Verb,"Hình thức, dạng; tạo thành"
off,Adverb/Preposition,"Tắt, ra khỏi; khỏi"
child,Noun,Đứa trẻ
few,Determiner/Adjective,"Một vài, ít; ít"
small,Adjective,Nhỏ
since,Preposition/Conjunction,"Kể từ khi, vì"
against,Preposition,"Chống lại, phản đối"
ask,Verb,"Hỏi, yêu cầu"
late,Adjective/Adverb,"Muộn, chậm; muộn, chậm"
home,Noun/Adverb,"Nhà, quê hương; về nhà"
city,Noun,Thành phố
put,Verb,"Đặt, để"
close,Adjective/Verb/Adverb,"Gần, đóng lại; sát, gần"
case,Noun,"Trường hợp, tình huống"
force,Noun/Verb,"Lực, ép buộc; ép, bắt buộc"
meet,Verb,Gặp gỡ
once,Adverb,"Một lần, lúc nào đó"
water,Noun,Nước
upon,Preposition,"Trên, trên đầu"
war,Noun,Chiến tranh
though,Conjunction,"Mặc dù, tuy nhiên"
young,Adjective/Noun,"Trẻ, trẻ tuổi; người trẻ"
less,Determiner/Adjective,"Ít hơn, không"
enough,Determiner/Adjective/Adverb,"Đủ, đủ; đủ sức"
almost,Adverb,Gần như
read,Verb,Đọc
include,Verb,Bao gồm
president,Noun,Tổng thống
nothing,Pronoun,"Không gì, không có gì"
yet,Adverb/Conjunction,"Vẫn, chưa; nhưng mà"
simple,Adjective,Đơn giản
within,Preposition/Adverb,"Trong, bên trong; trong vòng"
love,Noun/Verb,Tình yêu; yêu
human,Adjective/Noun,"Con người, nhân loại"
along,Preposition/Adverb,"Dọc theo, theo; cùng"
appear,Verb,"Xuất hiện, hiện ra"
doctor,Noun,Bác sĩ
believe,Verb,Tin tưởng
speak,Verb,"Nói, nói chuyện"
active,Adjective,"Hoạt động, tích cực"
interest,Noun/Verb,Sự quan tâm; làm quan tâm
large,Adjective,Lớn
person,Noun,Người
end,Noun/Verb,"Kết thúc, kết cục; kết thúc"
open,Adjective/Verb,"Mở, mở ra; mở"
public,Adjective,"Công cộng, dành cho công chúng"
follow,Verb,"Theo, theo sau"
during,Preposition,"Trong suốt, trong thời gian"
present,Adjective/Noun/Verb,Hiện tại; trình bày
without,Preposition,"Không có, thiếu"
build,Verb/Noun,"Xây dựng, công trình xây dựng"
hear,Verb,"Nghe, nghe thấy"
light,Noun/Adjective,Ánh sáng; nhẹ nhàng
unite,Verb,"Kết hợp, đoàn kết"
live,Verb/Adjective,"Sống; sống, thực sự"
every,Determiner,"Mỗi, mỗi ngày"
country,Noun,Quốc gia
bring,Verb,"Mang đến, đưa đến"
center,Noun/Verb,Trung tâm; tập trung
let,Verb,"Cho phép, để"
better,Adjective/Adverb,Tốt hơn
big,Adjective,Lớn
boy,Noun,"Bé trai, thiếu niên"
cost,Verb/Noun,"Tốn, giá; chi phí"
business,Noun,Kinh doanh
value,Noun/Verb,"Giá trị; đánh giá, xem trọng"
second,Number/Noun,Thứ hai; giây
why,Adverb/Conjunction,"Tại sao, tại vì"
clear,Adjective/Verb,Rõ ràng; làm cho sạch
expect,Verb,"Mong đợi, dự đoán"
student,Noun,"Sinh viên, học sinh"
month,Noun,Tháng
drive,Verb/Noun,Lái xe; sự lái xe
concern,Noun/Verb,Mối quan tâm; làm lo lắng
best,Adjective,Tốt nhất
door,Noun,Cửa
hope,Noun/Verb,Hy vọng
example,Noun,Ví dụ
inform,Verb,Thông báo
body,Noun,Cơ thể
again,Adverb,"Lại, một lần nữa"
hold,Verb,"Giữ, cầm"
govern,Verb,"Cai trị, quản lý"
around,Adverb/Preposition,Xung quanh
possible,Adjective,"Có thể, có khả năng"
head,Noun/Verb,Đầu; hướng
consider,Verb,"Xem xét, cân nhắc"
word,Noun,Từ
program,Noun,Chương trình
problem,Noun,Vấn đề
side,Noun,"Bên, phía"
try,Verb,"Thử, cố gắng"
provide,Verb,Cung cấp
continue,Verb,Tiếp tục
name,Noun/Verb,Tên; đặt tên
certain,Adjective,Chắc chắn
power,Noun,"Sức mạnh, quyền lực"
pay,Verb/Noun,Trả tiền; lương
result,Noun/Verb,Kết quả
question,Noun/Verb,Câu hỏi
family,Noun,Gia đình
complete,Adjective/Verb,"Hoàn thành, đầy đủ"
act,Noun/Verb,Hành động; thực hiện
sense,Noun,"Giác quan, ý thức"
mind,Noun/Verb,Tâm trí; chú ý
experience,Noun/Verb,"Kinh nghiệm, trải nghiệm"
art,Noun,Nghệ thuật
next,Adjective/Adverb,Tiếp theo
near,Adjective/Adverb,Gần
direct,Adjective/Verb,Trực tiếp; chỉ đạo
ever,Adverb,"Bao giờ, từng, luôn luôn"
least,Determiner/Adverb,Ít nhất
probable,Adjective,Có thể xảy ra
understand,Verb,Hiểu
reach,Verb/Noun,Đạt được; tiếp cận
effect,Noun,"Tác động, hiệu ứng"
different,Adjective,Khác biệt
idea,Noun,Ý tưởng
whole,Adjective/Noun,Toàn bộ
control,Noun/Verb,Kiểm soát; điều khiển
however,Adverb/Conjunction,Tuy nhiên
lead,Verb/Noun,Dẫn dắt; chì
system,Noun,Hệ thống
set,Noun/Verb,"Bộ; đặt, để"
order,Noun/Verb,Thứ tự; đặt hàng
eye,Noun,Mắt
particular,Adjective,Cụ thể
today,Noun/Adverb,Hôm nay
measure,Verb/Noun,Đo lường
fact,Noun,Sự thật
group,Noun,Nhóm
play,Verb/Noun,Chơi; sự chơi
stand,Verb/Noun,Đứng; sự đứng
increase,Verb/Noun,Tăng
early,Adjective/Adverb,Sớm
course,Noun,Khóa học
change,Verb/Noun,Thay đổi
help,Verb/Noun,Giúp đỡ
line,Noun,Dòng
something,Pronoun,Cái gì đó
company,Noun,Công ty
week,Noun,Tuần
church,Noun,Nhà thờ
toward,Preposition/Adverb,Hướng về
start,Verb/Noun,Bắt đầu
social,Adjective,Xã hội
room,Noun,Phòng
figure,Noun/Verb,Hình; suy nghĩ
nature,Noun,Tự nhiên
per,Preposition,Mỗi
often,Adverb,Thường
kind,Noun/Adjective,Loại; tử tế
among,Preposition,Trong số
white,Adjective/Noun,Trắng
reason,Noun/Verb,Lý do
action,Noun,Hành động
return,Verb/Noun,Trở lại
foot,Noun,Chân
care,Noun/Verb,Quan tâm
walk,Verb/Noun,Đi bộ
plan,Noun/Verb,Kế hoạch
run,Verb/Noun,Chạy
keep,Verb,Giữ
face,Noun/Verb,Mặt; đối mặt
study,Noun/Verb,Học tập
woman,Noun,Phụ nữ
member,Noun,Thành viên
until,Preposition/Conjunction,Cho đến khi
far,Adverb/Adjective,Xa
night,Noun,Đêm
always,Adverb,Luôn luôn
service,Noun,Dịch vụ
away,Adverb,Xa
report,Noun/Verb,Báo cáo
car,Noun,Xe ô tô
law,Noun,Luật
industry,Noun,Công nghiệp
important,Adjective,Quan trọng
girl,Noun,Cô gái
god,Noun,Thần thánh
several,Determiner,Một vài
matter,Noun/Verb,Vấn đề
usual,Adjective,Thông thường
rather,Adverb,Tương đối
condition,Noun,Điều kiện
field,Noun,Lĩnh vực
pass,Verb/Noun,Vượt qua
fall,Verb/Noun,Rơi
note,Noun/Verb,Ghi chú
special,Adjective,Đặc biệt
talk,Verb/Noun,Nói chuyện
teach,Verb,"Dạy, giảng dạy"
low,Adjective/Adverb,Thấp
hour,Noun,Giờ
type,Noun,"Loại, kiểu"
carry,Verb,"Mang, vận chuyển"
rate,Noun/Verb,"Tỷ lệ, đánh giá"
remain,Verb,"Còn lại, duy trì"
fight,Verb/Noun,Chiến đấu
watch,Verb/Noun,"Xem, đồng hồ"
situation,Noun,Tình huống
south,Noun/Adjective/Adverb,Phía nam
outside,Adjective/Adverb/Preposition,Bên ngoài
moment,Noun,"Lúc, khoảng thời gian ngắn"
spirit,Noun,Tinh thần
train,Noun/Verb,"Tàu hỏa, huấn luyện"
college,Noun,Trường đại học
religion,Noun,Tôn giáo
perhaps,Adverb,Có lẽ
music,Noun,Âm nhạc
grow,Verb,Phát triển
free,Adjective/Verb,"Miễn phí, tự do"
cause,Noun/Verb,"Nguyên nhân, gây ra"
manage,Verb,Quản lý
answer,Noun/Verb,Câu trả lời
break,Verb/Noun,"Phá vỡ, sự giải lao"
organize,Verb,Tổ chức
half,Noun/Adjective,Một nửa
fire,Noun/Verb,"Lửa, sa thải"
lose,Verb,Mất
money,Noun,Tiền
stop,Verb/Noun,Dừng lại
actual,Adjective,Thực tế
ago,Adverb,Trước đây
difference,Noun,Sự khác biệt
stage,Noun,"Giai đoạn, sân khấu"
father,Noun,Cha
table,Noun,Bàn
rest,Noun/Verb,Nghỉ
bear,Verb/Noun,"Chịu đựng, con gấu"
entire,Adjective,Toàn bộ
market,Noun,Thị trường
prepare,Verb,Chuẩn bị
serve,Verb,Phục vụ
age,Noun/Verb,Tuổi
book,Noun/Verb,"Sách, đặt chỗ"
board,Noun/Verb,"Bảng, lên tàu"
recent,Adjective,Gần đây
sound,Noun/Verb,Âm thanh
office,Noun,Văn phòng
cut,Verb/Noun,Cắt
step,Noun/Verb,Bước
class,Noun,Lớp
already,Adverb,Đã rồi
effort,Noun,Nỗ lực
wait,Verb/Noun,Chờ đợi
department,Noun,Bộ phận
able,Adjective,Có khả năng
political,Adjective,Chính trị
learn,Verb,Học
voice,Noun/Verb,"Giọng, bày tỏ"
air,Noun/Verb,"Không khí, phát sóng"
together,Adverb,Cùng nhau
explain,Verb,Giải thích
offer,Verb/Noun,Đề nghị
plant,Noun/Verb,"Cây, trồng"
charge,Verb/Noun,Tính phí
ground,Noun/Verb,Mặt đất
west,Noun/Adjective/Adverb,Phía tây
picture,Noun/Verb,"Hình ảnh, vẽ"
hard,Adjective/Adverb,"Khó, mạnh"
front,Noun/Adjective,Mặt trước
lie,Verb,"Nằm, nói dối"
true,Adjective,"Đúng, thật"
history,Noun,Lịch sử
position,Noun/Verb,Vị trí
above,Preposition/Adverb,Phía trên
strong,Adjective,Mạnh
friend,Noun,Bạn
necessary,Adjective,Cần thiết
add,Verb,Thêm vào
court,Noun,Tòa án
deal,Noun/Verb,Giao dịch
shall,Modal Verb,Sẽ
cover,Verb/Noun,Bao phủ
common,Adjective,Phổ biến
subject,Noun/Adjective,Chủ đề
draw,Verb/Noun,"Vẽ, rút"
short,Adjective/Adverb,Ngắn
wife,Noun,Vợ
treat,Verb/Noun,Đối xử
limit,Noun/Verb,Giới hạn
road,Noun,Đường
modern,Adjective,Hiện đại
dark,Adjective/Noun,Tối
surface,Noun/Verb,Bề mặt
rule,Noun/Verb,Quy tắc
regard,Verb/Noun,Xem xét
dance,Verb/Noun,Nhảy
peace,Noun,Hòa bình
observe,Verb,Quan sát
future,Noun/Adjective,Tương lai
wall,Noun,Tường
tax,Noun/Verb,Thuế
support,Verb/Noun,Hỗ trợ
party,Noun,"Bữa tiệc, đảng"
whether,Conjunction,Liệu
either,Conjunction,Hoặc
land,Noun/Verb,Đất đai
material,Noun/Adjective,Vật liệu
happen,Verb,Xảy ra
education,Noun,Giáo dục
death,Noun,Cái chết
letter,Noun,Thư
color,Noun/Verb,Màu sắc
behind,Preposition/Adverb,Phía sau
produce,Verb/Noun,Sản xuất
send,Verb,Gửi
term,Noun,Kỳ học
total,Adjective/Noun,Tổng cộng
university,Noun,Trường đại học
rise,Verb/Noun,Tăng lên
century,Noun,Thế kỷ
farm,Noun/Verb,Nông trại
claim,Verb/Noun,Tuyên bố
firm,Noun/Adjective,Công ty
operation,Noun,Hoạt động
further,Adjective/Adverb,Hơn nữa
pressure,Noun,Áp lực
property,Noun,Tài sản
morning,Noun,Buổi sáng
amount,Noun/Verb,Số lượng
top,Noun/Adjective/Verb,Đầu
full,Adjective,Đầy đủ
street,Noun,Phố
easy,Adjective,Dễ
although,Conjunction,Mặc dù
record,Noun/Verb,Ghi chép
sit,Verb,Ngồi
determine,Verb,Xác định
level,Noun/Verb,Mức độ
local,Adjective,Địa phương
sure,Adjective,Chắc chắn
receive,Verb,Nhận
thus,Adverb,Vì vậy
agree,Verb,Đồng ý
arm,Noun/Verb,Cánh tay
mother,Noun,Mẹ
across,Preposition/Adverb,Ngang qua
quite,Adverb,Khá
anything,Pronoun,Bất cứ điều gì
town,Noun,Thị trấn
past,Preposition/Adverb/Noun,Quá khứ
view,Noun/Verb,Quan điểm
society,Noun,Xã hội
success,Noun,Thành công
minute,Noun/Adjective,Phút
remember,Verb,Nhớ
purpose,Noun,Mục đích
test,Noun/Verb,Kiểm tra
